,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_ReinforcementBarPitchOfWall.Reference,Pset_StairFlightCommon.NumberOfTreads,Pset_StairCommon.Reference,Pset_StairCommon.NumberOfRiser,Pset_ColumnCommon.LoadBearing,Pset_ReinforcementBarCountOfIndependentFooting.Reference,Pset_BeamCommon.Reference,Pset_RoofCommon.IsExternal,Pset_WallCommon.Reference,Pset_ReinforcementBarPitchOfContinuousFooting.Reference,Pset_StairCommon.NumberOfTreads,Pset_RoofCommon.Reference,BaseQuantities.GrossFootprintArea,Pset_StairFlightCommon.TreadLengthAtOffset,BaseQuantities.CrossSectionArea,Pset_SlabCommon.IsExternal,Pset_StairFlightCommon.TreadLength,Pset_StairCommon.RiserHeight,Pset_RoofCommon.TotalArea,Pset_WallCommon.LoadBearing,BaseQuantities.NetSurfaceArea,BaseQuantities.GrossArea,BaseQuantities.Width,Pset_SlabCommon.ThermalTransmittance,Pset_StairFlightCommon.WalkingLineOffset,Pset_StairFlightCommon.NumberOfRiser,Pset_BeamCommon.Span,Pset_RoofCommon.ProjectedArea,Pset_SlabCommon.Reference,Pset_BeamCommon.LoadBearing,Pset_BeamCommon.Slope,Pset_StairFlightCommon.RiserHeight,BaseQuantities.Length,Pset_ColumnCommon.Slope,BaseQuantities.Perimeter,Pset_StairFlightCommon.Reference,Pset_StairFlightCommon.NosingLength,Pset_WallCommon.IsExternal,Pset_ColumnCommon.Reference,BaseQuantities.NetSideArea,Pset_WallCommon.ExtendToStructure,Pset_BeamCommon.IsExternal,Pset_StairFlightCommon.TreadLengthAtInnerSide,Pset_StairCommon.TreadLength,BaseQuantities.Height,Pset_ReinforcementBarPitchOfColumn.Reference,BaseQuantities.GrossSurfaceArea,BaseQuantities.GrossSideArea,Pset_ReinforcementBarPitchOfBeam.Reference,Pset_StairCommon.IsExternal,Pset_QuantityTakeOff.Reference,BaseQuantities.NetArea,Pset_SlabCommon.PitchAngle,BaseQuantities.NetVolume,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_WallCommon.ThermalTransmittance,BaseQuantities.OuterSurfaceArea,Pset_SlabCommon.LoadBearing,BaseQuantities.GrossVolume,Pset_ColumnCommon.IsExternal
149,9342,3hp_azCvjAw9R6HYMyIATw,IfcWallStandardCase,STANDARD,Muro básico:M.H.A 200 mm:471972,REF FUND.,Muro básico:M.H.A 200 mm,M.H.A 200 mm,,,,,,,,M.H.A 200 mm,,,,0.76,,,,,,,True,,,0.2,,,,,,,,,,3.8,,,,,False,,16.7199999999999,False,,,,4.39999999999999,,,16.7199999999999,,,M.H.A 200 mm,,,3.34399999999999,,5.23,,,3.34399999999999,
150,9392,3hp_azCvjAw9R6HYMyIATu,IfcFooting,STRIP_FOOTING,Cimentación de muro:1200 x 1000 mm:471974,Nivel -2,,,,,,,1200 x 1000 mm,,,,1200 x 1000 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 x 1000 mm,,,,,,,,,
151,9427,3hp_azCvjAw9R6HYMyIA1L,IfcFooting,STRIP_FOOTING,Cimentación de muro:1700 x  800 mm:472203,Nivel -2,,,,,,,1700 x  800 mm,,,,1700 x  800 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 x  800 mm,,,,,,,,,
152,9467,3hp_azCvjAw9R6HYMyIA5m,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:472494,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,3.34894042450699,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,7.3399299111847,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,3.34894042450699,0.0,6.02809276411259,Relleno / Emplantillado H.P  1800 mm,,,True,6.02809276411259,
153,9524,3hp_azCvjAw9R6HYMyIABp,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:472621,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,2.025525,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,5.78,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,2.025525,0.0,3.645945,Relleno / Emplantillado H.P  1800 mm,,,True,3.645945,
154,9581,05GLJeVmH1e9mvBpSgnmcC,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:472701,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,1.89467250000002,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,5.56100000000002,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,1.89467250000002,0.0,3.41041050000003,Relleno / Emplantillado H.P  1800 mm,,,True,3.41041050000003,
155,9638,05GLJeVmH1e9mvBpSgnmb9,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1800 mm:472760,REF FUND.,Suelo:Relleno / Emplantillado H.P  1800 mm,,,,,,,,,,,,,,,,False,,,,,,3.12337943709165,1.8,0.581111111111111,,,,,Relleno / Emplantillado H.P  1800 mm,,,,,,7.11092991118467,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1800 mm,3.12337943709165,0.0,5.62208298676496,Relleno / Emplantillado H.P  1800 mm,,,True,5.62208298676496,
156,9692,05GLJeVmH1e9mvBpSgnma6,IfcFooting,STRIP_FOOTING,Cimentación de muro:1500 x 3600 mm:472823,Nivel -2,,,,,,,1500 x 3600 mm,,,,1500 x 3600 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 x 3600 mm,,,,,,,,,
157,9732,3HENbGan91EP2ol77lkBJq,IfcSlab,BASESLAB,M_Zapata-Rectangular:1500 x 1340  x 1000 mm:475536,REF FUND.,M_Zapata-Rectangular:1500 x 1340  x 1000 mm,,,,,,,,,,,,,,,,False,,,,,,2.01,1.0,,,,,,1500 x 1340  x 1000 mm,,,,,,5.68,,,,,,,,,,,,,,,,1500 x 1340  x 1000 mm,2.01,,2.01,1500 x 1340  x 1000 mm,,,,2.01,
158,9787,3HENbGan91EP2ol77lkB1K,IfcSlab,BASESLAB,M_Zapata-Rectangular:13400 x 1095  x 3600 mm:476464,REF FUND.,M_Zapata-Rectangular:13400 x 1095  x 3600 mm,,,,,,,,,,,,,,,,False,,,,,,1.4204,3.6,,,,,,13400 x 1095  x 3600 mm,,,,,,4.8,,,,,,,,,,,,,,,,13400 x 1095  x 3600 mm,1.4204,0.0,5.11343999999999,13400 x 1095  x 3600 mm,,,,5.11344000000001,
159,9842,2DMvHHrBD6dga$EXfpd$Al,IfcSlab,BASESLAB,M_Zapata-Rectangular:5475 x 1200 x 1000 mm:477231,REF FUND.,M_Zapata-Rectangular:5475 x 1200 x 1000 mm,,,,,,,,,,,,,,,,False,,,,,,6.56704205328919,1.0,,,,,,5475 x 1200 x 1000 mm,,,,,,13.3450700888153,,,,,,,,,,,,,,,,5475 x 1200 x 1000 mm,6.56704205328919,,6.56704205328919,5475 x 1200 x 1000 mm,,,,6.56704205328919,
160,9903,19tnydtp524vPG6$8VmXMu,IfcWallStandardCase,STANDARD,Muro básico:M.H.A 300 mm:478050,REF FUND.,Muro básico:M.H.A 300 mm,M.H.A 300 mm,,,,,,,,M.H.A 300 mm,,,,0.132,,,,,,,True,,,0.3,,,,,,,,,,0.440000000000001,,,,,False,,1.31999999999999,False,,,,2.99999999999999,,,1.31999999999999,,,M.H.A 300 mm,,,0.395999999999998,,3.48666666666667,,,0.395999999999998,
161,9953,19tnydtp524vPG6$8VmXM_,IfcFooting,STRIP_FOOTING,Cimentación de muro:1300 x 1200 mm:478052,Nivel -2,,,,,,,1300 x 1200 mm,,,,1300 x 1200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 x 1200 mm,,,,,,,,,
162,9999,19tnydtp524vPG6$8VmXKI,IfcWallStandardCase,STANDARD,Muro básico:M.H.A 300 mm:478152,REF FUND.,Muro básico:M.H.A 300 mm,M.H.A 300 mm,,,,,,,,M.H.A 300 mm,,,,0.36,,,,,,,True,,,0.3,,,,,,,,,,1.2,,,,,False,,3.59999999999999,False,,,,2.99999999999999,,,3.59999999999999,,,M.H.A 300 mm,,,1.08,,3.48666666666667,,,1.08,
163,10049,19tnydtp524vPG6$8VmXKG,IfcFooting,STRIP_FOOTING,Cimentación de muro:1200 x 2400 mm:478154,Nivel -2,,,,,,,1200 x 2400 mm,,,,1200 x 2400 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 x 2400 mm,,,,,,,,,
164,10089,19tnydtp524vPG6$8VmXFJ,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P  1600 mm:478473,REF FUND.,Suelo:Relleno / Emplantillado H.P  1600 mm,,,,,,,,,,,,,,,,False,,,,,,3.54994334409688,1.6,0.65375,,,,,Relleno / Emplantillado H.P  1600 mm,,,,,,7.83995467527751,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P  1600 mm,3.54994334409688,0.0,5.679909350555,Relleno / Emplantillado H.P  1600 mm,,,True,5.679909350555,
165,10146,19tnydtp524vPG6$8VmXET,IfcSlab,FLOOR,Suelo:Relleno / Emplantillado H.P 1000 mm:478535,REF FUND.,Suelo:Relleno / Emplantillado H.P 1000 mm,,,,,,,,,,,,,,,,False,,,,,,3.0,0.999999999999999,1.046,,,,,Relleno / Emplantillado H.P 1000 mm,,,,,,7.40000000000001,,,,,,,,,,,,,,,,Relleno / Emplantillado H.P 1000 mm,3.0,0.0,3.0,Relleno / Emplantillado H.P 1000 mm,,,True,3.0,
